timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,2.48,2.48,2.48,2.48,2.48,4800,0.0,1.0
2000-01-04,2.32,2.32,2.32,2.32,2.32,2500,0.0,1.0
2000-01-05,2.16,2.16,2.16,2.16,2.16,300,0.0,1.0
2000-01-06,2.16,2.16,2.16,2.16,2.16,700,0.0,1.0
2000-01-07,2.16,2.16,2.16,2.16,2.16,0,0.0,1.0
2000-01-10,2.16,2.16,2.16,2.16,2.16,0,0.0,1.0
2000-01-11,2.16,2.16,2.16,2.16,2.16,0,0.0,1.0
2000-01-12,2.16,2.16,2.16,2.16,2.16,0,0.0,1.0
2000-01-13,2.16,2.16,2.16,2.16,2.16,0,0.0,1.0
2000-01-14,2.16,2.16,2.16,2.16,2.16,0,0.0,1.0
2000-01-18,2.32,2.56,2.32,2.56,2.56,9900,0.0,1.0
2000-01-19,2.56,2.56,2.56,2.56,2.56,0,0.0,1.0
2000-01-20,2.34,2.34,2.34,2.34,2.34,1400,0.0,1.0
2000-01-21,2.56,2.56,2.48,2.48,2.48,2200,0.0,1.0
2000-01-24,2.48,2.48,2.48,2.48,2.48,0,0.0,1.0
2000-01-25,2.34,2.34,2.34,2.34,2.34,2900,0.0,1.0
2000-01-26,2.48,2.48,2.24,2.4,2.4,19600,0.0,1.0
2000-01-27,2.4,2.4,2.4,2.4,2.4,1500,0.0,1.0
2000-01-28,2.4,3.0,2.4,3.0,3.0,4200,0.0,1.0
2000-01-31,2.48,2.48,2.48,2.48,2.48,3000,0.0,1.0
2000-02-01,2.48,2.56,2.48,2.56,2.56,3500,0.0,1.0
2000-02-02,2.56,2.56,2.56,2.56,2.56,0,0.0,1.0
2000-02-03,2.4,2.4,2.4,2.4,2.4,2000,0.0,1.0
2000-02-04,2.32,2.48,2.32,2.48,2.48,5500,0.0,1.0
2000-02-07,2.48,2.48,2.48,2.48,2.48,0,0.0,1.0
2000-02-08,2.48,2.48,2.48,2.48,2.48,0,0.0,1.0
2000-02-09,2.48,2.48,2.48,2.48,2.48,0,0.0,1.0
2000-02-10,2.56,2.56,2.48,2.48,2.48,6100,0.0,1.0
2000-02-11,2.48,2.48,2.48,2.48,2.48,0,0.0,1.0
2000-02-14,2.56,2.56,2.56,2.56,2.56,800,0.0,1.0
2000-02-15,2.44,2.56,2.44,2.48,2.48,6000,0.0,1.0
2000-02-16,2.48,3.48,2.4,3.08,3.08,23000,0.0,1.0
2000-02-17,3.08,3.4,3.08,3.08,3.08,7100,0.0,1.0
2000-02-18,3.08,3.08,3.08,3.08,3.08,0,0.0,1.0
2000-02-22,3.08,3.08,3.08,3.08,3.08,0,0.0,1.0
2000-02-23,3.52,3.52,3.08,3.08,3.08,25500,0.0,1.0
2000-02-24,3.48,3.48,3.0,3.08,3.08,4400,0.0,1.0
2000-02-25,3.32,3.32,3.32,3.32,3.32,400,0.0,1.0
2000-02-28,3.32,3.32,3.32,3.32,3.32,0,0.0,1.0
2000-02-29,3.32,3.32,3.02,3.32,3.32,7100,0.0,1.0
2000-03-01,3.32,3.32,3.32,3.32,3.32,300,0.0,1.0
2000-03-02,3.08,3.08,3.08,3.08,3.08,7000,0.0,1.0
2000-03-03,3.08,3.08,3.08,3.08,3.08,0,0.0,1.0
2000-03-06,3.08,3.08,3.08,3.08,3.08,0,0.0,1.0
2000-03-07,3.04,3.04,3.04,3.04,3.04,1300,0.0,1.0
2000-03-08,3.04,3.04,3.04,3.04,3.04,0,0.0,1.0
2000-03-09,3.04,3.04,3.04,3.04,3.04,0,0.0,1.0
2000-03-10,3.04,3.04,3.04,3.04,3.04,0,0.0,1.0
2000-03-13,3.04,3.04,3.04,3.04,3.04,0,0.0,1.0
2000-03-14,3.04,3.04,3.04,3.04,3.04,300,0.0,1.0
2000-03-15,3.04,3.04,3.04,3.04,3.04,0,0.0,1.0
2000-03-16,3.04,3.04,3.04,3.04,3.04,0,0.0,1.0
2000-03-17,3.32,3.32,3.32,3.32,3.32,1500,0.0,1.0
2000-03-20,3.08,3.08,2.56,2.56,2.56,5500,0.0,1.0
2000-03-21,2.44,2.44,2.44,2.44,2.44,1700,0.0,1.0
2000-03-22,3.08,3.08,3.08,3.08,3.08,1000,0.0,1.0
2000-03-23,3.08,3.08,3.08,3.08,3.08,0,0.0,1.0
2000-03-24,2.44,2.44,2.44,2.44,2.44,100,0.0,1.0
2000-03-27,3.08,3.08,3.08,3.08,3.08,500,0.0,1.0
2000-03-28,3.08,3.08,3.08,3.08,3.08,0,0.0,1.0
2000-03-29,3.08,3.08,3.08,3.08,3.08,0,0.0,1.0
2000-03-30,2.44,2.56,2.32,2.32,2.32,8800,0.0,1.0
2000-03-31,2.2,2.32,2.2,2.2,2.2,2000,0.0,1.0
2000-04-03,2.2,2.2,2.2,2.2,2.2,0,0.0,1.0
2000-04-04,2.24,2.24,2.24,2.24,2.24,1000,0.0,1.0
2000-04-05,2.24,2.24,2.24,2.24,2.24,0,0.0,1.0
2000-04-06,2.24,2.24,2.24,2.24,2.24,0,0.0,1.0
2000-04-07,2.24,2.24,2.24,2.24,2.24,0,0.0,1.0
2000-04-10,2.24,2.24,2.24,2.24,2.24,0,0.0,1.0
2000-04-11,2.32,2.32,2.32,2.32,2.32,3900,0.0,1.0
2000-04-12,2.32,2.32,2.32,2.32,2.32,0,0.0,1.0
2000-04-13,2.32,2.32,2.32,2.32,2.32,0,0.0,1.0
2000-04-14,2.32,2.32,2.32,2.32,2.32,0,0.0,1.0
2000-04-17,2.24,2.48,2.16,2.24,2.24,6200,0.0,1.0
2000-04-18,2.16,2.16,2.16,2.16,2.16,600,0.0,1.0
2000-04-19,2.16,2.16,2.16,2.16,2.16,1100,0.0,1.0
2000-04-20,2.16,2.16,2.16,2.16,2.16,0,0.0,1.0
2000-04-24,2.16,2.16,2.16,2.16,2.16,0,0.0,1.0
2000-04-25,2.16,2.16,2.16,2.16,2.16,0,0.0,1.0
2000-04-26,2.52,2.52,2.52,2.52,2.52,1000,0.0,1.0
2000-04-27,2.52,2.52,2.52,2.52,2.52,0,0.0,1.0
2000-04-28,2.52,2.52,2.52,2.52,2.52,0,0.0,1.0
