"","x"
"1","acepack"
"2","addinslist"
"3","ade4"
"4","alphavantager"
"5","anytime"
"6","assertthat"
"7","backports"
"8","base64enc"
"9","BH"
"10","bindr"
"11","bindrcpp"
"12","binman"
"13","bit"
"14","bit64"
"15","bitops"
"16","blob"
"17","blotter"
"18","boilerpipeR"
"19","brew"
"20","broom"
"21","BSDA"
"22","ca"
"23","car"
"24","caroline"
"25","caTools"
"26","checkmate"
"27","chron"
"28","cli"
"29","coin"
"30","colorspace"
"31","commonmark"
"32","compare"
"33","contfrac"
"34","corpcor"
"35","cramer"
"36","crayon"
"37","crosstalk"
"38","curl"
"39","daff"
"40","data.table"
"41","DBI"
"42","DEoptimR"
"43","desc"
"44","DescTools"
"45","deSolve"
"46","devtools"
"47","dichromat"
"48","digest"
"49","doParallel"
"50","dotCall64"
"51","dplyr"
"52","drat"
"53","DT"
"54","dunn.test"
"55","dygraphs"
"56","e1071"
"57","ellipse"
"58","elliptic"
"59","EMT"
"60","evaluate"
"61","expm"
"62","FactoMineR"
"63","fdrtool"
"64","fields"
"65","fifer"
"66","FinancialInstrument"
"67","flashClust"
"68","foreach"
"69","forecast"
"70","formatR"
"71","Formula"
"72","fracdiff"
"73","ggdendro"
"74","ggformula"
"75","ggplot2"
"76","git2r"
"77","githubinstall"
"78","glmnet"
"79","glue"
"80","gridExtra"
"81","gsubfn"
"82","gtable"
"83","gtrendsR"
"84","here"
"85","hermite"
"86","highr"
"87","Hmisc"
"88","hms"
"89","htmlTable"
"90","htmltools"
"91","htmlwidgets"
"92","httpuv"
"93","httr"
"94","hunspell"
"95","hypergeo"
"96","IBrokers"
"97","igraph"
"98","IKTrading"
"99","inline"
"100","installr"
"101","irlba"
"102","ISOcodes"
"103","iterators"
"104","janeaustenr"
"105","jsonlite"
"106","knitr"
"107","labeling"
"108","lars"
"109","latticeExtra"
"110","lazyeval"
"111","leaps"
"112","lme4"
"113","lmtest"
"114","lubridate"
"115","magrittr"
"116","manipulate"
"117","maps"
"118","markdown"
"119","matrixcalc"
"120","MatrixModels"
"121","matrixStats"
"122","maxLik"
"123","mc2d"
"124","memoise"
"125","mime"
"126","miniUI"
"127","minqa"
"128","miscTools"
"129","mixOmics"
"130","mnormt"
"131","mockery"
"132","modeltools"
"133","moments"
"134","mosaic"
"135","mosaicCore"
"136","mosaicData"
"137","multcomp"
"138","multcompView"
"139","MuMIn"
"140","munsell"
"141","mutoss"
"142","mvtnorm"
"143","ngramrr"
"144","nloptr"
"145","NLP"
"146","nortest"
"147","openssl"
"148","ordinal"
"149","orthopolynom"
"150","pacman"
"151","party"
"152","pbkrtest"
"153","pbo"
"154","PDQutils"
"155","PerformanceAnalytics"
"156","permute"
"157","pillar"
"158","pkgconfig"
"159","plogr"
"160","plotrix"
"161","pls"
"162","plyr"
"163","polynom"
"164","praise"
"165","proto"
"166","pspearman"
"167","psych"
"168","purrr"
"169","qdapDictionaries"
"170","quadprog"
"171","Quandl"
"172","quantmod"
"173","quantreg"
"174","quantstrat"
"175","R.cache"
"176","R.methodsS3"
"177","R.oo"
"178","R.utils"
"179","R6"
"180","randomForest"
"181","randomForestSRC"
"182","RApiDatetime"
"183","rappdirs"
"184","rARPACK"
"185","RColorBrewer"
"186","rcompanion"
"187","Rcpp"
"188","RcppArmadillo"
"189","RcppEigen"
"190","Rcrawler"
"191","RCurl"
"192","readr"
"193","repmis"
"194","reshape"
"195","reshape2"
"196","rgl"
"197","rJava"
"198","rjson"
"199","RJSONIO"
"200","rlang"
"201","rlist"
"202","rmarkdown"
"203","robustbase"
"204","roxygen2"
"205","RPostgreSQL"
"206","rprojroot"
"207","RSelenium"
"208","RSpectra"
"209","RSQLite"
"210","rstudioapi"
"211","rtweet"
"212","RVAideMemoire"
"213","rvest"
"214","sadists"
"215","sandwich"
"216","scales"
"217","scatterplot3d"
"218","scrapeR"
"219","selectr"
"220","semver"
"221","SentimentAnalysis"
"222","SharpeR"
"223","shiny"
"224","shinyjs"
"225","slam"
"226","SnowballC"
"227","sourcetools"
"228","spam"
"229","SparseM"
"230","spikeslab"
"231","sqldf"
"232","stargazer"
"233","stopwords"
"234","stringdist"
"235","stringr"
"236","strucchange"
"237","subprocess"
"238","survival"
"239","tau"
"240","testthat"
"241","TH.data"
"242","tibble"
"243","tidyr"
"244","tidyselect"
"245","tidytext"
"246","timeDate"
"247","timeSeries"
"248","tm"
"249","tm.plugin.sentiment"
"250","tm.plugin.webmining"
"251","tokenizers"
"252","tseries"
"253","TTR"
"254","twitteR"
"255","ucminf"
"256","utf8"
"257","uuid"
"258","V8"
"259","vcd"
"260","vegan"
"261","viridis"
"262","viridisLite"
"263","wayback"
"264","wdman"
"265","whisker"
"266","withr"
"267","WRS2"
"268","XML"
"269","xml2"
"270","xtable"
"271","xts"
"272","xtsExtra"
"273","yaml"
"274","zoo"
"275","acepack"
"276","addinslist"
"277","ade4"
"278","alphavantager"
"279","anytime"
"280","assertthat"
"281","backports"
"282","base"
"283","base64enc"
"284","BH"
"285","bindr"
"286","bindrcpp"
"287","binman"
"288","bit"
"289","bit64"
"290","bitops"
"291","blob"
"292","blotter"
"293","boilerpipeR"
"294","boot"
"295","brew"
"296","broom"
"297","BSDA"
"298","ca"
"299","car"
"300","caroline"
"301","caTools"
"302","checkmate"
"303","chron"
"304","class"
"305","cli"
"306","cluster"
"307","codetools"
"308","coin"
"309","colorspace"
"310","commonmark"
"311","compare"
"312","compiler"
"313","contfrac"
"314","corpcor"
"315","cramer"
"316","crayon"
"317","crosstalk"
"318","curl"
"319","daff"
"320","data.table"
"321","datasets"
"322","DBI"
"323","DEoptimR"
"324","desc"
"325","DescTools"
"326","deSolve"
"327","devtools"
"328","dichromat"
"329","digest"
"330","doParallel"
"331","dotCall64"
"332","dplyr"
"333","drat"
"334","DT"
"335","dunn.test"
"336","dygraphs"
"337","e1071"
"338","ellipse"
"339","elliptic"
"340","EMT"
"341","evaluate"
"342","expm"
"343","FactoMineR"
"344","fdrtool"
"345","fields"
"346","fifer"
"347","FinancialInstrument"
"348","flashClust"
"349","foreach"
"350","forecast"
"351","foreign"
"352","formatR"
"353","Formula"
"354","fracdiff"
"355","ggdendro"
"356","ggformula"
"357","ggplot2"
"358","git2r"
"359","githubinstall"
"360","glmnet"
"361","glue"
"362","graphics"
"363","grDevices"
"364","grid"
"365","gridExtra"
"366","gsubfn"
"367","gtable"
"368","gtrendsR"
"369","here"
"370","hermite"
"371","highr"
"372","Hmisc"
"373","hms"
"374","htmlTable"
"375","htmltools"
"376","htmlwidgets"
"377","httpuv"
"378","httr"
"379","hunspell"
"380","hypergeo"
"381","IBrokers"
"382","igraph"
"383","IKTrading"
"384","inline"
"385","installr"
"386","irlba"
"387","ISOcodes"
"388","iterators"
"389","janeaustenr"
"390","jsonlite"
"391","KernSmooth"
"392","knitr"
"393","labeling"
"394","lars"
"395","lattice"
"396","latticeExtra"
"397","lazyeval"
"398","leaps"
"399","lme4"
"400","lmtest"
"401","lubridate"
"402","magrittr"
"403","manipulate"
"404","maps"
"405","markdown"
"406","MASS"
"407","Matrix"
"408","matrixcalc"
"409","MatrixModels"
"410","matrixStats"
"411","maxLik"
"412","mc2d"
"413","memoise"
"414","methods"
"415","mgcv"
"416","mime"
"417","miniUI"
"418","minqa"
"419","miscTools"
"420","mixOmics"
"421","mnormt"
"422","modeltools"
"423","moments"
"424","mosaic"
"425","mosaicCore"
"426","mosaicData"
"427","multcomp"
"428","multcompView"
"429","MuMIn"
"430","munsell"
"431","mutoss"
"432","mvtnorm"
"433","ngramrr"
"434","nlme"
"435","nloptr"
"436","NLP"
"437","nnet"
"438","nortest"
"439","openssl"
"440","ordinal"
"441","orthopolynom"
"442","pacman"
"443","parallel"
"444","party"
"445","pbkrtest"
"446","pbo"
"447","PDQutils"
"448","PerformanceAnalytics"
"449","permute"
"450","pillar"
"451","pkgconfig"
"452","plogr"
"453","plotrix"
"454","pls"
"455","plyr"
"456","polynom"
"457","proto"
"458","pspearman"
"459","psych"
"460","purrr"
"461","qdapDictionaries"
"462","quadprog"
"463","Quandl"
"464","quantmod"
"465","quantreg"
"466","quantstrat"
"467","R6"
"468","randomForest"
"469","randomForestSRC"
"470","RApiDatetime"
"471","rappdirs"
"472","rARPACK"
"473","RColorBrewer"
"474","rcompanion"
"475","Rcpp"
"476","RcppArmadillo"
"477","RcppEigen"
"478","Rcrawler"
"479","RCurl"
"480","readr"
